id,cost,status
503,61591751.000000,0
504,7154102.000000,0
505,40125685.000000,0
506,10852465.000000,0
507,12787012.000000,0
508,11685679.000000,0
509,17161733.000000,0
510,23097081.000000,0
511,512814.000000,0
512,97033788.000000,0
513,3349645.000000,0
514,13448498.000000,0
515,113746659.000000,0
516,185315.000000,0
517,2560509.000000,0
518,26902085.000000,0
519,1325328.000000,0
520,4996665.000000,0
521,1012855.000000,0
522,1992758.000000,0
523,13715112.000000,0
524,773554.000000,0
525,692851.000000,0
526,22551189.000000,0
527,4228793.000000,0
528,12632699.000000,0
529,23790.000000,0
530,37251134.000000,0
531,2084778.000000,0
532,1093788.000000,0
533,7315972.000000,0
534,120986.000000,0
535,9096666.000000,0
536,440874.000000,0
537,4848666.000000,0
