"new_cost","area_m2","perimeter_m","solution","iteration","scenario","best_solution","per_circle_m","fragmentation_m"
6387573883,503057161263.446,10517684.2912342,"r00008",7,8,"NO",2514279.76340023,4.18317978943218
6839167925,502401377129.308,10385794.4007893,"r00009",7,8,"NO",2512640.42436862,4.13341849476893
5710188168,535986664646.261,10887078.223673,"r00010",7,8,"NO",2595266.28157867,4.19497540616547
9739634634,518757650705.069,10492049.1164127,"r00001",7,9,"NO",2553213.83706774,4.10934993539845
7605607944,501427574756.602,10002719.6472003,"r00002",7,9,"NO",2510204.12330367,3.98482320793728
9396091729,507755747804.666,10132069.3534482,"r00003",7,9,"NO",2525994.24157786,4.01112131875614
8980591389,502094714138.337,10744505.6022242,"r00004",7,9,"NO",2511873.45648085,4.2774868194504
7819920186,501185833021.142,10129095.9687836,"r00005",7,9,"NO",2509598.95688734,4.03614128902363
8689178520,522312252294.779,10756876.56993,"r00006",7,9,"NO",2561946.39654245,4.1987125821396
9500776778,502014474645.916,10702146.2908302,"r00007",7,9,"NO",2511672.73787279,4.26096367152281
8110177974,501443887581.721,10939493.3928604,"r00008",7,9,"NO",2510244.95491117,4.35793860334541
8264196070,501379448371.362,10069958.6702942,"r00009",7,9,"NO",2510083.65730258,4.01180201344992
10641653703,538562075397.646,9684451.19348095,"r00010",7,9,"YES",2601493.92432219,3.72264993699888
