id,prop,spf,name
375,0.2,0.08,Fis-51713_surface.grd
376,0.2,0.08,Fis-52009_surface.grd
377,0.2,0.08,Fis-58308_surface.grd
378,0.2,0.08,Fis-58405_surface.grd
379,0.2,0.08,Fis-58485_surface.grd
380,0.2,0.08,Fis-586_surface.grd
381,0.2,0.08,Fis-58684_surface.grd
382,0.2,0.08,Fis-59163_surface.grd
383,0.2,0.08,Fis-59166_surface.grd
384,0.2,0.08,Fis-59174_surface.grd
385,0.2,0.08,Fis-59175_surface.grd
386,0.2,0.08,Fis-59731_surface.grd
387,0.2,0.08,Fis-59732_surface.grd
388,0.2,0.08,Fis-60567_surface.grd
389,0.2,0.08,Fis-60581_surface.grd
390,0.2,0.08,Fis-6123_surface.grd
391,0.2,0.08,Fis-7669_surface.grd
392,0.2,0.08,Fis-7801_surface.grd
393,0.2,0.08,Fis-8203_surface.grd
394,0.2,0.08,Fis-8265_surface.grd
395,0.2,0.08,ITS-206258_surface.grd
396,0.2,0.08,ITS-206259_surface.grd
397,0.2,0.08,ITS-551590_surface.grd
398,0.2,0.08,ITS-551673_surface.grd
399,0.2,0.08,ITS-552980_surface.grd
400,0.2,0.08,ITS-612315_surface.grd
401,0.2,0.08,ITS-612381_surface.grd
402,0.2,0.08,ITS-656252_surface.grd
403,0.2,0.08,ITS-659922_surface.grd
404,0.2,0.08,ITS-682680_surface.grd
405,0.2,0.08,ITS-682683_surface.grd
406,0.2,0.08,ITS-682705_surface.grd
407,0.2,0.08,ITS-682706_surface.grd
408,0.2,0.08,ITS-682707_surface.grd
409,0.2,0.08,ITS-682886_surface.grd
410,0.2,0.08,ITS-83691_surface.grd
411,0.2,0.08,ITS-873_surface.grd
412,0.2,0.08,ITS-89561_surface.grd
413,0.2,0.08,ITS-89593_surface.grd
414,0.2,0.08,ITS-89595_surface.grd
415,0.2,0.08,ITS-89606_surface.grd
416,0.2,0.08,ITS-89622_surface.grd
417,0.2,0.08,ITS-89628_surface.grd
418,0.2,0.08,ITS-89727_surface.grd
419,0.2,0.08,ITS-89887_surface.grd
420,0.2,0.08,ITS-89965_surface.grd
421,0.2,0.08,ITS-90000_surface.grd
422,0.2,0.08,ITS-90079_surface.grd
423,0.2,0.08,ITS-90145_surface.grd
424,0.2,0.08,ITS-90170_surface.grd
425,0.2,0.08,ITS-90190_surface.grd
426,0.2,0.08,ITS-90210_surface.grd
427,0.2,0.08,ITS-90228_surface.grd
428,0.2,0.08,ITS-90238_surface.grd
429,0.2,0.08,ITS-90280_surface.grd
430,0.2,0.08,ITS-90298_surface.grd
431,0.2,0.08,ITS-90304_surface.grd
432,0.2,0.08,ITS-90311_surface.grd
433,0.2,0.08,ITS-90388_surface.grd
434,0.2,0.08,ITS-90390_surface.grd
435,0.2,0.08,ITS-90567_surface.grd
