"new_cost","area_m2","perimeter_m","solution","iteration","scenario","best_solution","per_circle_m","fragmentation_m"
8491.35749661073,15425999999.9945,7725269.856661,"r00011",8,2,"NO",440282.674082271,17.5461591187153
8454.70029931472,15691999999.9914,7725382.41250011,"r00012",8,2,"NO",444062.481730236,17.3970617432013
8609.2620798158,16089999999.988,8090060.86313173,"r00013",8,2,"NO",449658.651851478,17.9915605533681
8326.70576885202,15527999999.993,7908310.16018968,"r00014",8,2,"NO",441735.897227836,17.9028016736226
8560.81498743233,15681999999.9926,7875108.80660133,"r00015",8,2,"YES",443920.965909798,17.7398893302136
8309.87125253329,14599999999.9952,7569682.90021162,"r00016",8,2,"NO",428332.827331251,17.6724323171187
8210.77797057841,15179999999.9891,7537586.90508816,"r00017",8,2,"NO",436757.948898283,17.2580417233427
7908.0888933972,14607999999.9952,7624064.49928376,"r00018",8,2,"NO",428450.162719654,17.794518855796
8334.5768192646,15107999999.9931,7754137.40596534,"r00019",8,2,"NO",435720.928165783,17.7961096305547
8626.12611607716,15563999999.9955,7900706.59186116,"r00020",8,2,"NO",442247.659396666,17.8648918179457
8531.07990582016,14659999999.9928,7731879.15125598,"r00021",8,2,"NO",429212.060881816,18.0141236836888
8194.09651656844,14385999999.994,7412232.02049635,"r00022",8,2,"NO",425182.087649627,17.4330768764756
8337.00978350659,14943999999.9939,7971742.94015334,"r00023",8,2,"NO",433349.561509997,18.3956409517895
8454.01153284681,14807999999.9944,7701708.11173094,"r00024",8,2,"NO",431373.174939472,17.8539338075706
8676.06715042594,16037999999.9918,8035302.51709763,"r00025",8,2,"NO",448931.455695621,17.898729115889
8959.31291126211,14741999999.9938,7524661.53084781,"r00026",8,2,"NO",430410.775419023,17.482511964349
8183.8070598484,14983999999.9923,7566096.39694218,"r00027",8,2,"NO",433929.138553129,17.4362487436778
8345.88345803484,14135999999.9942,7212115.1239551,"r00028",8,2,"NO",421471.487771722,17.1117509326309
7944.70483350806,15743999999.9929,8281336.24644066,"r00029",8,2,"NO",444797.63820459,18.618210923664
8353.35682417556,15583999999.9916,7685779.85239904,"r00030",8,2,"NO",442531.715986626,17.3677491911819
8023.34360530429,15415999999.9922,7987913.48341471,"r00031",8,2,"NO",440139.942962308,18.1485766314528
8368.5638219785,14897999999.9927,7735816.39485556,"r00032",8,2,"NO",432682.088157842,17.8787534926418
8139.21958477495,13915999999.9953,7621734.89692678,"r00033",8,2,"NO",418178.925185576,18.2260138851915
8289.27282526112,14915999999.9932,7858263.14434289,"r00034",8,2,"NO",432943.39593496,18.1507864957095
8567.46523723683,15889999999.9874,7969284.64657753,"r00035",8,2,"NO",446855.266346956,17.8341517863859
8619.66893865257,15353999999.9934,7967956.24364228,"r00036",8,2,"NO",439253.974840055,18.1397476176366
8177.94254077497,15235999999.9938,7729974.86128358,"r00037",8,2,"NO",437562.821410022,17.665977279272
8939.28919744614,14813999999.9933,7383826.90889236,"r00038",8,2,"NO",431460.559357437,17.1135617120807
8513.1505484931,15357999999.9901,7790291.66992198,"r00039",8,2,"NO",439311.187992297,17.7329689815652
8221.38991269738,14049999999.9945,7301804.80485191,"r00040",8,2,"NO",420187.4666523,17.3774931057001
8838.18271790484,15711999999.9931,8068057.38415258,"r00041",8,2,"NO",444345.378160643,18.1571763333066
8697.72190453756,15733999999.9923,7574930.42729085,"r00042",8,2,"NO",444656.356354242,17.0354709182571
8340.39923046646,15199999999.9949,7940088.94984774,"r00043",8,2,"NO",437045.573525457,18.1676452773529
8337.48327024226,15401999999.9926,7418455.64710564,"r00044",8,2,"NO",439940.041599157,16.8624242979566
8467.24970123398,15499999999.995,8081533.64492887,"r00045",8,2,"NO",441337.449716772,18.3114613321738
8197.82080280459,14951999999.9929,8223461.59583552,"r00046",8,2,"NO",433465.538913774,18.9714310771804
8520.03263020263,15859999999.991,8004444.52343105,"r00047",8,2,"NO",446433.240186731,17.9297682226418
